시즌,제목,방영일,리뷰수,평점
1,Days Gone Bye,8 Oct. 2019,"27,510",9.2
1,Guts,7 Nov. 2010,"17,310",8.6
1,Tell It to the Frogs,14 Nov. 2010,"15,841",8.2
1,Vatos,21 Nov. 2010,"15,474",8.5
1,Wildfire,28 Nov. 2010,"14,884",8.1
1,TS-19,5 Dec. 2010,"16,211",8.6
2,What Lies Ahead,16 Oct. 2011,"14,539",8.5
2,Bloodletting,23 Oct. 2011,"13,213",7.9
2,Save the Last One,30 Oct. 2011,"13,182",8.3
2,Cherokee Rose,6 Nov. 2011,"12,793",7.5
2,Chupacabra,13 Nov. 2011,"12,894",8.0
2,Secrets,20 Nov. 2011,"12,533",7.6
2,Pretty Much Dead Already,27 Nov. 2011,"18,230",9.2
2,Nebraska,12 Feb. 2012,"12,704",8.2
2,Triggerfinger,19 Feb. 2012,"12,280",8.2
2,18 Miles Out,26 Feb. 2012,"12,719",8.4
2,"Judge, Jury, Executioner",4 Mar. 2012,"12,950",8.5
2,Better Angels,11 Mar. 2012,"15,500",9.1
2,Beside the Dying Fire,18 Mar. 2012,"17,158",9.2
3,Seed,14 Oct. 2012,"15,035",8.8
3,Sick,21 Oct. 2012,"12,662",8.5
3,Walk with Me,28 Oct. 2012,"12,180",8.1
3,Killer Within,4 Nov. 2012,"16,915",9.3
3,Say the Word,11 Nov. 2012,"11,441",8.1
3,Hounded,18 Nov. 2012,"11,287",8.1
3,When the Dead Come Knocking,25 Nov. 2012,"11,565",8.5
3,Made to Suffer,2 Dec. 2012,"12,966",8.9
3,The Suicide King,10 Feb. 2013,"11,542",8.0
3,Home,17 Feb. 2013,"12,322",8.6
3,I Ain't a Judas,24 Feb. 2013,"11,281",7.7
3,Clear,3 Mar. 2013,"13,234",8.7
3,Arrow on the Doorpost,10 Mar. 2013,"11,568",7.7
3,Prey,17 Mar. 2013,"11,524",7.9
3,This Sorrowful Life,24 Mar. 2013,"13,054",8.8
3,Welcome to the Tombs,31 Mar. 2013,"13,245",8.2
4,30 Days Without an Accident,13 Oct. 2013,"13,654",8.1
4,Infected,20 Oct. 2013,"11,930",8.3
4,Isolation,27 Oct. 2013,"11,262",7.9
4,Indifference,3 Nov. 2013,"11,300",7.9
4,Internment,10 Nov. 2013,"13,481",8.8
4,Live Bait,17 Nov. 2013,"11,913",7.7
4,Dead Weight,24 Nov. 2013,"11,504",7.7
4,Too Far Gone,1 Dec. 2013,"28,136",9.6
4,After,9 Feb. 2014,"12,396",8.0
4,Inmates,16 Feb. 2014,"11,425",8.1
4,Claimed,23 Feb. 2014,"11,173",8.1
4,Still,2 Mar. 2014,"14,634",7.3
4,Alone,9 Mar. 2014,"11,473",7.9
4,The Grove,16 Mar. 2014,"17,547",9.2
4,Us,23 Mar. 2014,"11,305",8.4
4,A,30 Mar. 2014,"17,107",9.1
5,No Sanctuary,12 Oct. 2014,"28,956",9.6
5,Strangers,19 Oct. 2014,"13,198",8.5
5,Four Walls and a Roof,26 Oct. 2014,"15,086",9.0
5,Slabtown,2 Nov. 2014,"12,990",7.4
5,Self Help,9 Nov. 2014,"11,741",7.9
5,Consumed,16 Nov. 2014,"11,526",8.0
5,Crossed,23 Nov. 2014,"10,912",7.8
5,Coda,30 Nov. 2014,"14,459",8.7
5,What Happened and What's Going On,8 Feb. 2015,"13,829",7.9
5,Them,15 Feb. 2015,"11,890",7.5
5,The Distance,22 Feb. 2015,"11,296",8.4
5,Remember,1 Mar. 2015,"11,654",8.6
5,Forget,8 Mar. 2015,"10,577",7.9
5,Spend,15 Mar. 2015,"12,965",8.9
5,Try,22 Mar. 2015,"11,409",8.5
5,Conquer,29 Mar. 2015,"17,253",9.2
6,First Time Again,11 Oct. 2015,"16,106",8.6
6,JSS,18 Oct. 2015,"16,504",9.2
6,Thank You,25 Oct. 2015,"17,500",9.2
6,Here's Not Here,1 Nov. 2015,"14,823",8.2
6,Now,8 Nov. 2015,"11,376",7.2
6,Always Accountable,15 Nov. 2015,"10,849",7.6
6,Heads Up,22 Nov. 2015,"10,759",8.0
6,Start to Finish,29 Nov. 2015,"11,589",8.0
